series,episode,baker,result,signature,technical,showstopper
4,3,Lucy,NA,NA,NA,NA
4,3,Mark,NA,"Ginger, Mango and Passion Fruit Trifle",11,Rose and Pistachio MacaroonsChocolate and Raspberry Bites
4,3,Robert,NA,Rhubarb and Orange Trifle,2,Almond FriandsTurǫn Macaroons
4,3,Ruby,NA,Desert Island Trifle,3,Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes
4,3,Toby,NA,NA,NA,NA
4,4,Kimberley,STAR BAKER,Pecan and Rosemary Caramel Apple Pie,4,"Chicken, Bacon and Butternut Squash Pie"
4,4,Ali,NA,Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry,8,"Orange, Cardamom and Date M'Hanncha"
4,4,Beca,NA,Mamgu's Cherry-Apple Tart,2,Moroccan Vegetable Filo Feast
4,4,Christine,NA,"Granny Rogers' Apple, Plum & Cinnamon Country Pie",7,Roasted Vegetable Filo Pie with Feta Cheese
4,4,Deborah,NA,NA,NA,NA
4,4,Frances,NA,Peach Pie In the Sky,1,Cherry Tree Baklava Filo Pie
4,4,Glenn,NA,Apple & Maple Syrup Pie,9,Spanakopita (Walnut and Feta Cheese)
4,4,Howard,NA,Apple Pie with Sage Pastry,5,Fresh Fig and Feta Filo Flan
4,4,Lucy,NA,NA,NA,NA
4,4,Mark,NA,NA,NA,NA
4,4,Robert,NA,Apple and Pear Pie with Thyme,3,Spanakopita with St George's Mushrooms
4,4,Ruby,NA,Apple and Marzipan Pie,6,"Rose, Almond and Raspberry Filo Pie"
4,4,Toby,NA,NA,NA,NA
4,5,Christine,STAR BAKER,Mixed Berry and Almond Crumble Traybake,1,Shortbread Bavarian Clock Tower
4,5,Ali,NA,NA,NA,NA
4,5,Beca,NA,"Chocolate, Cherry and Hazelnut Brownies",5,Tiered Macaron and Sugar Dough Biscuit Centrepiece
4,5,Deborah,NA,NA,NA,NA
4,5,Frances,NA,Millionaire Banoffee Bonus,3,Biscuit Buttons and Beads
4,5,Glenn,NA,Apricot and Pistachio Tiffin,2,Shortbread and Macaron Helter-Skelter
4,5,Howard,NA,Breakfast Traybake,8,Japanese Pagoda Tea Tower
4,5,Kimberley,NA,Cherry and Almond Bakewell Florentine Slice,7,Black and White Viennese Biscuit Stack
4,5,Lucy,NA,NA,NA,NA
4,5,Mark,NA,NA,NA,NA
4,5,Robert,NA,Blueberry & Orange Traybake,4,Dalek
4,5,Ruby,NA,Blackberry and Lemon Bakewell Slice,6,'Dropped Ice-Cream' Biscuit Centrepiece
4,5,Toby,NA,NA,NA,NA
4,6,Ruby,STAR BAKER,Citrus Tea Loaf,1,Twisted Swedish KanelbullarSaffron St. Lucia Buns
4,6,Ali,NA,NA,NA,NA
4,6,Beca,NA,Bara Brith,6,Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns
4,6,Christine,NA,Oxford Nutty Fruit Loaf,4,Schnecken BunsVanilla Custard Skolebrød
4,6,Deborah,NA,NA,NA,NA
4,6,Frances,NA,Chai Tea Loaf,2,Hot Cross BriochesRhubarb and Custard Kolaches
4,6,Glenn,NA,Devonshire Panettone,5,Almond and Apricot BriochesSticky Caramel Kanelbullen
4,6,Howard,NA,Date & Hemp Yorkshire Loaf,7,Peachy BunsGerman Baumschnecken
4,6,Kimberley,NA,Chai Spiced Ginger and Date Tea Loaf,3,Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer
4,6,Lucy,NA,NA,NA,NA
4,6,Mark,NA,NA,NA,NA
4,6,Robert,NA,NA,NA,NA
4,6,Toby,NA,NA,NA,NA
4,7,Frances,STAR BAKER,Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream,5,French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers
4,7,Ali,NA,NA,NA,NA
4,7,Beca,NA,Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy,1,Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille
4,7,Christine,NA,Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream,6,Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille
4,7,Deborah,NA,NA,NA,NA
4,7,Glenn,NA,Prune and Armagnac Puddingwith Boozy Butterscotch Sauce,3,Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille
4,7,Howard,NA,NA,NA,NA
4,7,Kimberley,NA,Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard,4,"Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette"
4,7,Lucy,NA,NA,NA,NA
4,7,Mark,NA,NA,NA,NA
4,7,Robert,NA,NA,NA,NA
4,7,Ruby,NA,Plum Jam Roly-Polywith Ginger Ice cream,2,Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts
4,7,Toby,NA,NA,NA,NA
4,8,Ruby,STAR BAKER,Mango and Nigella Seed Spelt Cob,1,Carrot Cake and Pistachio Garden Plot
4,8,Ali,NA,NA,NA,NA
4,8,Beca,NA,"Potato, Spelt and Rosemary Focaccia",4,Spiced Butternut Squash and Pecan 'Cheese' Cake
4,8,Christine,NA,"Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds",5,Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant
4,8,Deborah,NA,NA,NA,NA
4,8,Frances,NA,'Chelsea Flour Show' Bun Bouquet,3,"Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
4,8,Glenn,NA,NA,NA,NA
4,8,Howard,NA,NA,NA,NA
4,8,Kimberley,NA,Wild Garlic Pesto and Parma Ham Spelt Loaf,2,Butternut Squash and Spice Cake Toadstool House
4,8,Lucy,NA,NA,NA,NA
4,8,Mark,NA,NA,NA,NA
4,8,Robert,NA,NA,NA,NA
4,8,Toby,NA,NA,NA,NA
4,9,Kimberley,STAR BAKER,Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken,1,Passion Fruit and Lime Opera Cake
4,9,Ali,NA,NA,NA,NA
4,9,Beca,NA,Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets,3,Banoffee Opera Cake
4,9,Christine,NA,NA,NA,NA
4,9,Deborah,NA,NA,NA,NA
4,9,Frances,NA,"Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones",2,Great British Soap Opera Cake
4,9,Glenn,NA,NA,NA,NA
4,9,Howard,NA,NA,NA,NA
4,9,Lucy,NA,NA,NA,NA
4,9,Mark,NA,NA,NA,NA
4,9,Robert,NA,NA,NA,NA
4,9,Ruby,NA,"Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions",4,"Chocolate, Almond Praline and Saffron Opera Cake"
4,9,Toby,NA,NA,NA,NA
4,10,Kimberley,RUNNER-UP,Chicken and Pig Pie,1,Languages of Love Wedding Cake
4,10,Ruby,RUNNER-UP,Picnic Basket Pie,2,"Raspberry, Lemon and Passion Fruit Wedding Cake"
4,10,Ali,NA,NA,NA,NA
4,10,Beca,NA,NA,NA,NA
4,10,Christine,NA,NA,NA,NA
4,10,Deborah,NA,NA,NA,NA
4,10,Frances,NA,Rainbow Picnic Pie,3,Midsummer Night's Dream Wedding Cake
4,10,Glenn,NA,NA,NA,NA
4,10,Howard,NA,NA,NA,NA
4,10,Lucy,NA,NA,NA,NA
4,10,Mark,NA,NA,NA,NA
4,10,Robert,NA,NA,NA,NA
4,10,Toby,NA,NA,NA,NA
5,1,Nancy,STAR BAKER,Coffee and Hazelnut Swiss Roll,1,Jaffa Orange Cakes
5,1,Chetna,NA,"Cardamom, Pistachio and Coffee Swiss Roll",3,Tiered Victoria Sponges with Lemon Curd and Raspberry Cream
5,1,Claire,NA,Chocolatey Orangey Swirly Roll,8,Mini Chocolate and Cherry Cakes
5,1,Diana,NA,Mum's Sunday Tea Lemon Curd Swiss Roll,5,Chocolate Ganache Surprises
5,1,Enwezor,NA,Raspberry and Lemon Swiss Roll,9,Coffee and Walnut Battenberg Squares
5,1,Iain,NA,Apricot and Basil Swiss Roll with Mascarpone and White Chocolate Cream,4,"Lemon Drizzle Cakes with Mascarpone Filling, Drizzled Icing, and Candied Lemon"
5,1,Jordan,NA,Kawaii Frasier Swiss Roll,12,Lemon Drizzle Cakes with Blueberry and Lemon Curd
5,1,Kate,NA,Red Velvet and White Chocolate Swiss Roll,6,Mini Tiered Victoria Sponges
5,1,Luis,NA,Spanish Swiss Roll,7,Raspberry and Lemon Genoise Slices with Lemon Drizzles
5,1,Martha,NA,Tiramisu Swiss Roll,2,Mini Lemon and Thyme Drizzle Cakes
5,1,Norman,NA,Black Forest Swiss Roll,11,Almond and Raspberry Mini Cakes
5,1,Richard,NA,Pistachio and Strawberry Swiss Roll,10,Miniature Coffee & Walnut Cakes
5,2,Richard,STAR BAKER,Rosemary Seeded Crackers,1,Pirates!
5,2,Chetna,NA,Fenugreek and Carom Crackers,8,Day On The Beach
5,2,Claire,NA,NA,NA,NA
5,2,Diana,NA,Parmesan Triangles,7,"Express, First Class"
5,2,Enwezor,NA,Pumpkin and Sunflower Savoury Biscuits,9,Space Adventure Moon Scene
5,2,Iain,NA,Za'atar and Fig Biscuits,11,Wild West Scene
5,2,Jordan,NA,"Sourdough, Parmesan and Chilli Biscuits",6,Monster Attack
5,2,Kate,NA,Parmesan and Apple Biscuits,4,Tea Time
5,2,Luis,NA,Black Olive and Rosemary Biscuits with Caramelised Onion Glaze,3,George Versus The Dragon
5,2,Martha,NA,Caramelised Onion and Goat's Cheese Sandwich Biscuits,5,Ski Village Scene
5,2,Nancy,NA,Fennel and Rye Thins,2,Hansel and Gretel Scene
5,2,Norman,NA,Farthing Biscuits,10,Zulu Boats at Dawn
5,3,Luis,STAR BAKER,Opposites Attract Rolls,2,Roscón de Reyes
5,3,Chetna,NA,Onion and Pine Nut Rolls,8,Rolled and Filled Twin Loaf
5,3,Claire,NA,NA,NA,NA
5,3,Diana,NA,Rustic Picnic Rolls,7,Sharing Savoury Pinwheel
5,3,Enwezor,NA,NA,NA,NA
5,3,Iain,NA,Cranberry and Walnut Rye Bread Rolls,9,Moroccan Plaited with a Bessara Dip
5,3,Jordan,NA,Rye and Spelt Bread Rolls,10,Strawberry Raspberry Cheesecake Brioche
5,3,Kate,NA,Orange and Cardamom Rye Bread Knots,1,"Prosciutto, Olive and Coriander Bread"
5,3,Martha,NA,Date and Walnut Rye Rolls,3,Stuffed Sunflower Loaf
5,3,Nancy,NA,Cider and Walnut Crusty Rolls,5,'Full English' Stromboli
5,3,Norman,NA,Rye Bread Rolls,4,Chicken and Roasted Vegetable Picnic Loaf
5,3,Richard,NA,Rye and Cranberry Rolls,6,Pesto Pinwheel
5,4,Richard,STAR BAKER,Black Forest Chocolate Fondants,5,Tiramisu Baked Alaska
5,4,Chetna,NA,"Rhubarb, Strawberry and Orange Puddings",3,"Mango, Raspberry and Coconut Baked Alaska"
5,4,Claire,NA,NA,NA,NA
5,4,Diana,NA,Orange and Lemon Curd Pots,9,Raspberry Ripple Alaska Swan
5,4,Enwezor,NA,NA,NA,NA
5,4,Iain,NA,"Chocolate, Lime and Raspberry Fondants",6,"Chocolate, Black Sesame Seed and Coffee Caramel Baked Alaska (not presented)"
5,4,Jordan,NA,NA,NA,NA
5,4,Kate,NA,Chocolate and Salted Caramel Molten Puddings,7,"Pistachio, Raspberry and Chocolate Baked Alaska"
5,4,Luis,NA,Pears in Puddings,2,Bakewell Alaska
5,4,Martha,NA,Peanut Butter Chocolate Fondants,1,Key Lime Baked Alaska
5,4,Nancy,NA,Pistachio Puddings with Chocolate Sauce,4,Summer Pudding Alaska
5,4,Norman,NA,Mini Sticky Toffee Puddings,8,Baked Alaska with Strawberry Surprise
5,5,Kate,STAR BAKER,Rhubarb and Custard Tart,3,"Rhubarb, Prune and Apple Pies"
5,5,Chetna,NA,Rice Custard Tart with Mangoes and Raspberries,2,Fusion Tiered Pies
5,5,Claire,NA,NA,NA,NA
5,5,Diana,NA,NA,NA,NA
5,5,Enwezor,NA,NA,NA,NA
5,5,Iain,NA,NA,NA,NA
5,5,Jordan,NA,NA,NA,NA
5,5,Luis,NA,Tropical Manchester Tart,6,Four Fruity Seasons Tower
5,5,Martha,NA,"Pistachio, Apricot and Honey Custard Tart",1,Three Little Pigs Pie
5,5,Nancy,NA,Chocolate Crusted Passion Fruit Tart,4,Trio of Apple Pies
5,5,Norman,NA,Tarte au Citron,5,Pieful Tower
5,5,Richard,NA,Fig and Orange Tart,7,Three Course Autumn Pie Feast
5,6,Chetna,STAR BAKER,Orange Savarin with Cinnamon Cream,2,Almond Liqueur Dobos Torte with Chocolate Caramel Buttercream
5,6,Claire,NA,NA,NA,NA
5,6,Diana,NA,NA,NA,NA
5,6,Enwezor,NA,NA,NA,NA
5,6,Iain,NA,NA,NA,NA
5,6,Jordan,NA,NA,NA,NA
5,6,Kate,NA,"Pecan, Chocolate and Sour Cherry Yeast Cake",6,Trio of Dobos Tortes
5,6,Luis,NA,Apple and Cinnamon Kugelhopf with Honeyed Apples,3,The Cage on the Rocky Hill
5,6,Martha,NA,Dark Chocolate and Almond Liqueur Savarin,4,Chess-Themed Chocolate and Salted Caramel Dobos Torte
5,6,Nancy,NA,Rum Punch Savarin with Coconut Cream and Tropical Fruits,1,Chocolate and Caramel Dobos Torte
5,6,Norman,NA,NA,NA,NA
5,6,Richard,NA,Fruity Guglhupf with an Orange Glaze,5,Sugar Forest Dobos Torte
5,7,Richard,STAR BAKER,Minted Lamb Pasties,1,"Stair of Éclairs
(Lavender and Blueberry & Rose and Raspberry Éclairs)"
5,7,Chetna,NA,Crispy Lentil Kachori,6,Chocolate and Mango & Lemon Meringue Éclairs
5,7,Claire,NA,NA,NA,NA
5,7,Diana,NA,NA,NA,NA
5,7,Enwezor,NA,NA,NA,NA
5,7,Iain,NA,NA,NA,NA
5,7,Jordan,NA,NA,NA,NA
5,7,Kate,NA,Spinach and Paneer Spicy Samosa,4,Neapolitan & Lemon Meringue Éclairs
5,7,Luis,NA,Childhood Empanadas,5,"Stars and Stripes Éclairs
(Blueberry Cheesecake & Peanut Butter and Jelly Éclairs)"
5,7,Martha,NA,Mini Beef Wellingtons,3,Rhubarb and Custard & Maple Syrup and Bacon Éclairs
5,7,Nancy,NA,Spicy Duck Pasties,2,Smoked Salmon and Horseradish & Raspberry Ripple Éclairs
5,7,Norman,NA,NA,NA,NA
5,8,Richard,STAR BAKER,Fruit Swedish Tea Ring,4,Rhubarb and Custard and Toffee Apple Doughnuts
5,8,Chetna,NA,Date and Walnut Swirl Bread,1,Chocolate Mousse Filled DoughnutsBraided Doughnuts
5,8,Claire,NA,NA,NA,NA
5,8,Diana,NA,NA,NA,NA
5,8,Enwezor,NA,NA,NA,NA
5,8,Iain,NA,NA,NA,NA
5,8,Jordan,NA,NA,NA,NA
5,8,Kate,NA,NA,NA,NA
5,8,Luis,NA,Black Forest Cherry Tree,2,"Cocktail Doughnuts
(Mudslide & Raspberry Mojito)"
5,8,Martha,NA,Spiced Plum Iced Bread Swirl,5,Glazed Lemon & Poppy Seed DoughnutsChocolate & Passion Fruit Doughnuts
5,8,Nancy,NA,Lincolnshire Plum Braid,3,"Doughnut Family Tree
(Limoncello and Almond & Milk Chocolate and Orange)"
5,8,Norman,NA,NA,NA,NA
5,9,Richard,STAR BAKER,Rose and Pistachio BaklavaWalnut and Almond Baklava,2,Hazelnut Mocha EntremetsPink Grapefruit Entremets
5,9,Chetna,NA,Chocolate Orange Baklava Masala Chai Baklava,4,"Chocolate, Orange & Nut EntremetsCappuccino Entremets"
5,9,Claire,NA,NA,NA,NA
5,9,Diana,NA,NA,NA,NA
5,9,Enwezor,NA,NA,NA,NA
5,9,Iain,NA,NA,NA,NA
5,9,Jordan,NA,NA,NA,NA
5,9,Kate,NA,NA,NA,NA
5,9,Luis,NA,Indian Rose BaklavaHalwa Baklava Rolls,1,"Chocolate Mousse & Cherry EntremetsPomegranate, Fig & Pistachio Sponges"
5,9,Martha,NA,NA,NA,NA
5,9,Nancy,NA,Coffee and Chocolate BaklavaBreakfast Baklava,3,Raspberry NonnettesLime and Passion Fruit Entremets
5,9,Norman,NA,NA,NA,NA
5,10,Luis,RUNNER-UP,"Apple, Walnut, Raisin and Cheshire Cheese ChaussonsPain au Chocolat Blanc with Raspberries and Cream Cheese",2,Village in Chocolate
5,10,Richard,RUNNER-UP,Pear Pain au ChocolatPain Au Lait,3,Mill on the Hill
5,10,Chetna,NA,NA,NA,NA
5,10,Claire,NA,NA,NA,NA
5,10,Diana,NA,NA,NA,NA
5,10,Enwezor,NA,NA,NA,NA
5,10,Iain,NA,NA,NA,NA
5,10,Jordan,NA,NA,NA,NA
5,10,Kate,NA,NA,NA,NA
5,10,Martha,NA,NA,NA,NA
5,10,Nancy,NA,Apple and Lemon KitesRaspberry and Almond Croissants,1,Red Windmill
5,10,Norman,NA,NA,NA,NA
6,1,Marie,STAR BAKER,Zingy Citrus Madeira Cake,3,A Walk in the Black Forest
6,1,Alvin,NA,Orange Vanilla and Fig Madeira Cake,2,Black Forest Gâteau
6,1,Dorret,NA,Madeira Cake with Candied Lemons,5,Enchanted Forest Gâteau
6,1,Flora,NA,Blood Orange Madeira Cake,6,Black Forest Gâteau
6,1,Ian,NA,Somewhere West of Madeira Cake,8,Black Forest Cherry Tree
6,1,Mat,NA,Gin and Tonic Madeira Cake,7,Black Forest Gateau
6,1,Nadiya,NA,Orange and Green Cardamom Madeira Cake,12,Quadruple Chocolate Black Forest Gâteau
6,1,Paul,NA,"Lemon, Ginger and Caraway Seed Madeira Cake",10,Black Forest Chocolate Creation
6,1,Sandy,NA,Madeira Cake with Almond Liqueur and Chopped Apricots,9,Black Forest Gâteau
6,1,Stu,NA,Marley Madeira Cake,11,Purple Forest Gâteau
6,1,Tamal,NA,Pistachio and Rose Madeira Cake,4,Black Forest Gâteau in a Chocolate Shell
6,1,Ugnė,NA,Lemon and Thyme Madeira Cake,1,Falling Cup Gâteau
6,2,Ian,STAR BAKER,"Orange, Rosemary and Almond Biscotti",3,Sandwich de la Confiture
6,2,Alvin,NA,"Jackfruit, Pistachio and Macadamia Biscotti",6,Gingerbread Box filled with Brandy Snaps
6,2,Dorret,NA,Almond and Apricot Biscotti with Amber Sugar Crystals,1,Box of Frogs
6,2,Flora,NA,Wedding Biscotti,2,Honey and Earl Grey Tea Box
6,2,Marie,NA,Biscotti Italiano,11,Russian Box
6,2,Mat,NA,"Pistachio, Cranberry and White Chocolate Biscotti",5,Gingerbread Fire Engine
6,2,Nadiya,NA,"Coconut, Fennel and Pistachio Biscotti",9,Box of Fortunes
6,2,Paul,NA,"Chocolate, Hazelnut and Fig Biscotti",10,Memory Box
6,2,Sandy,NA,Chocolate Chunk and Hazelnut Biscotti,4,Sundried Tomato Cheese Biscuit Box
6,2,Stu,NA,NA,NA,NA
6,2,Tamal,NA,"Cinnamon, Maple and Cranberry Biscotti",8,Chessboard Box
6,2,Ugnė,NA,White Wine Biscotti,7,Baby Climbing into the Cookie Box
6,3,Ian,STAR BAKER,Wild Garlic Pesto Soda Breads,1,Flour Power
6,3,Alvin,NA,"Prosciutto, Manchego and Balsamic Onion Soda Breads",4,Cornucopia
6,3,Dorret,NA,Walnut and Stilton Soda Breads,6,Unmade Bread
6,3,Flora,NA,Fig and Hazelnut Rye Breads,2,Herb Couture
6,3,Marie,NA,NA,NA,NA
6,3,Mat,NA,"Jalapeño, Mexican Cheddar and Smoked Salt Soda Breads",8,Curry Inspired Brighton Pavilion
6,3,Nadiya,NA,Mexican Bread with Warm Tomato Salsa,9,Snake Charmer's Basket
6,3,Paul,NA,Cranberry and Orange Sweet Soda Breads,10,King of the Jungle
6,3,Sandy,NA,Soda Breads with Smoked Bacon and Onion,7,Basket of Bread Flowers with a Walnut and Blue Cheese Centre
6,3,Stu,NA,NA,NA,NA
6,3,Tamal,NA,"Fig, Cheese and Walnut Breads",3,Breadcycle
6,3,Ugnė,NA,Chocolate Quick Breads with Salted Caramel Sauce,5,Easter Basket
6,4,Ian,STAR BAKER,Pomegranate Two Ways Crème Brûlées,4,Trio of Spicy and Herby Baked Cheesecakes
6,4,Alvin,NA,Blackberry Crème Brûlées,9,Tower of Fruits Cheesecakes
6,4,Dorret,NA,NA,NA,NA
6,4,Flora,NA,Rhubarb and Ginger Crème Brûlées,3,Elderflower and Granola Cheesecakes
6,4,Marie,NA,NA,NA,NA
6,4,Mat,NA,Coconut Crème Brûlées,7,Chocolate Bar Cheesecakes
6,4,Nadiya,NA,Cinnamon Tea Crème Brûlées,8,Fizzy Pop Cheesecakes
6,4,Paul,NA,Almond Crème Brûlées,1,Berry Cheesecake Tower
6,4,Sandy,NA,Pontefract Crème Brûlées,6,"Cassata, Whisky and Orange & Apple Pie Cheesecakes"
6,4,Stu,NA,NA,NA,NA
6,4,Tamal,NA,Rhubarb and Ginger Crème Brûlées,5,"Mango, Hazelnut and Rosemary Cheesecake Trio"
6,4,Ugnė,NA,Marula Fruit and Coffee Liqueur Crème Brûlées,2,"Lime, Coconut and Hazelnut Cheesecakes"
6,5,Nadiya,STAR BAKER,Naked Blueberry and Caraway Crunch Cake,1,Chocolate and Strawberry Lime Ice Cream Roll
6,5,Alvin,NA,Pineapple Upside Down Cake,8,"Buko Pandan, Mango and Passion Fruit Ice Cream Roll"
6,5,Dorret,NA,NA,NA,NA
6,5,Flora,NA,"Pistachio, Apple and Cardamom Madeleine Cake",3,Chocolate and Pear Bûche
6,5,Ian,NA,Honey and Flowers Cake,5,Dessert Island
6,5,Marie,NA,NA,NA,NA
6,5,Mat,NA,Sugar Free Carrot Cake,4,Raspberry and Coconut Ice Cream Roll
6,5,Paul,NA,Carrot & Pecan Cake,2,Dessert Island Getaway
6,5,Sandy,NA,NA,NA,NA
6,5,Stu,NA,NA,NA,NA
6,5,Tamal,NA,Honey and Grapefruit Polenta Cake,7,Passion Fruit and Pineapple Ice Cream Roll
6,5,Ugnė,NA,Chocolate and Hazelnut Sugar-Free Cake,6,"Chocolate, Peanut Butter and Grape Jam Roll"
6,6,Mat,STAR BAKER,Piña Colada Frangipane Tart,1,His 'n' Hers Vol-au-vents
6,6,Alvin,NA,Plum Frangipane Tart,6,Smoked Salmon En Croûte and Vermouth Chicken à la King Vol-au-vents
6,6,Dorret,NA,NA,NA,NA
6,6,Flora,NA,Apricot and Rosemary Frangipane Tart,2,Asparagus and Parma Ham and Praline and Chocolate Vol-au-vents
6,6,Ian,NA,Pear and Raspberry Frangipane Tart,3,vol-au-vents Terre et Mer
6,6,Marie,NA,NA,NA,NA
6,6,Nadiya,NA,"Bay Leaf, Rong Tea and Pear Tart",4,Bengali Korma and Clementine with Cod Vol-au-vents
6,6,Paul,NA,Christmas Frangipane Tart,5,Savoury and Sweet Bouchées
6,6,Sandy,NA,NA,NA,NA
6,6,Stu,NA,NA,NA,NA
6,6,Tamal,NA,Spiced Pear Frangipane Tart,7,Fennel and Rosemary Pulled Pork and Chicken and Coriander vol-au-vents
6,6,Ugnė,NA,NA,NA,NA
6,7,Tamal,STAR BAKER,Middle Eastern Game Pie,3,"Spiced Blackberry, Raspberry and Cardamom Charlotte Russe"
6,7,Alvin,NA,NA,NA,NA
6,7,Dorret,NA,NA,NA,NA
6,7,Flora,NA,Game Pie with Shallot and Apple Chutney,4,"Raspberry, Pomegranate and Champagne Charlotte Russe"
6,7,Ian,NA,Roadkill Pie,5,Victoria's Crown Charlotte Russe
6,7,Marie,NA,NA,NA,NA
6,7,Mat,NA,Raised Venison and Pigeon Pie,6,Strawberry Charlotte Russe
6,7,Nadiya,NA,Aromatic Raised Game Pie,1,Mango and Raspberry Charlotte Russe
6,7,Paul,NA,Not a Boaring Pie,2,Charlotte Rose
6,7,Sandy,NA,NA,NA,NA
6,7,Stu,NA,NA,NA,NA
6,7,Ugnė,NA,NA,NA,NA
6,8,Nadiya,STAR BAKER,Rose Pistachio and Mocha Hazelnut Horns,1,Bubble Gum and Peppermint Cream Religieuse à l'ancienne
6,8,Alvin,NA,NA,NA,NA
6,8,Dorret,NA,NA,NA,NA
6,8,Flora,NA,Peach & Lemon Thyme and Smoked Almond & Butterscotch Cream Horns,3,Lime & Basil and Coconut & White Chocolate Religieuse à l'ancienne
6,8,Ian,NA,Mont Blanc & Black Forest Gâteau Horns,2,Nun with Hidden Passions
6,8,Marie,NA,NA,NA,NA
6,8,Mat,NA,NA,NA,NA
6,8,Paul,NA,Café Tipple & Banana Crunch-away Horns,5,Religieuse à l'ancienne
6,8,Sandy,NA,NA,NA,NA
6,8,Stu,NA,NA,NA,NA
6,8,Tamal,NA,Lime & Mascarpone and Malt Cream Horns,4,Passionfruit & Mango and Pistachio & Raspberry Religieuse à l'ancienne
6,8,Ugnė,NA,NA,NA,NA
6,9,Nadiya,STAR BAKER,Peanut Salted Caramel and Chocolate Tart,4,Peacock in Nan's Door
6,9,Alvin,NA,NA,NA,NA
6,9,Dorret,NA,NA,NA,NA
6,9,Flora,NA,Passion Fruit and Chocolate Tart,1,Cocoa Carousel
6,9,Ian,NA,Chocolate and Bay Tart,3,Chocolate Well
6,9,Marie,NA,NA,NA,NA
6,9,Mat,NA,NA,NA,NA
6,9,Paul,NA,NA,NA,NA
6,9,Sandy,NA,NA,NA,NA
6,9,Stu,NA,NA,NA,NA
6,9,Tamal,NA,Chocolate New York Pie,2,Chocolate Bell Tower
6,9,Ugnė,NA,NA,NA,NA
6,10,Ian,RUNNER-UP,Elderflower and Lemon & Spiced Buns,2,Colossal Curvy Carrot Cake
6,10,Tamal,RUNNER-UP,Cinnamon and Apple & Toffee and Marmalade Iced Buns,3,Sticky Toffee Pudding Cake
6,10,Alvin,NA,NA,NA,NA
6,10,Dorret,NA,NA,NA,NA
6,10,Flora,NA,NA,NA,NA
6,10,Marie,NA,NA,NA,NA
6,10,Mat,NA,NA,NA,NA
6,10,Nadiya,NA,Cardamom and Almond Buns & Nutmeg and Sour Cherry Fingers,1,My Big Fat British Wedding Cake
6,10,Paul,NA,NA,NA,NA
6,10,Sandy,NA,NA,NA,NA
6,10,Stu,NA,NA,NA,NA
6,10,Ugnė,NA,NA,NA,NA
7,1,Jane,STAR BAKER,Lemon and Poppy Seed Drizzle Cake,7,Chocolate Orange Mirror Cake
7,1,Andrew,NA,Lemon and Rosemary Drizzle Cake,12,'Ultimate Indulgence' Mirror Glaze Cake
7,1,Benjamina,NA,"Pistachio, Cardamom and Lemon Drizzle Cake",6,White Chocolate Mirror Glaze with Salted Praline Buttercream
7,1,Candice,NA,Raspberry and Rhubarb Drizzle Custard Bundt Cake,5,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?"
7,1,Kate,NA,Berry Best Apple and Bramble Drizzle Cake,4,One Swallow Does Not Make A Summer Cake
7,1,Lee,NA,St. Clements Orange and Lemon Drizzle Cake,11,Strawberry Surprise Mirror Cake
7,1,Louise,NA,Orange Liqueur and Lemonade Drizzle Cake,9,White Chocolate Trifle Mirror Glaze Cake
7,1,Michael,NA,"Lime, Ginger and Honey Drizzle Cake",3,Matcha Tea Chocolate Mirror Glaze
7,1,Rav,NA,Ginger Spice Yuzu Drizzle Cake,8,Colombian Mocha Mirror Glaze Cake
7,1,Selasi,NA,Citrus and Spice Drizzle Cake,1,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake"
7,1,Tom,NA,G&T Drizzle Cake,2,Black Forest Broken Mirror
7,1,Val,NA,Mum's Orange and Lemon Drizzle,10,Chocolate Sponge with Four Fruit Frosting
